1n	1	8664.91582	0
1H	1	7825.03224	0
2H	2	14101.77811	0
3H	3	16049.28199	0
3He	3	16029.32265	0
3Li	3	030775	2147
4H	4	26431.868	107.35
4He	4	2603.25413	0
4Li	4	27185.562	227.73
5H	5	35311.493	96.02
5He	5	12057.224	21.47
5Li	5	12537.8	53.67
5Be	5	039870	2150
6H	6	44955.437	272.81
6He	6	18885.891	0.05
6Li	6	15122.88742	0
6Be	6	19726.409	5.84
6B	6	050800	2150
7H	7	052749	1078
7He	7	27990.654	8.11
7Li	7	16003.43666	0
7Be	7	16928.717	0.07
7B	7	29712	27
8He	8	33934.39	0.09
8Li	8	22486.246	0.05
8Be	8	5305.102	0.03
8B	8	24607.316	1.07
8C	8	37643.042	19.58
9He	9	43946.419	50.25
9Li	9	26790.191	0.2
9Be	9	12183.066	0.08
9B	9	13329.649	0.96
9C	9	31037.207	2.29
10He	10	52815.308	99.67
10Li	10	35483.453	13.65
10Be	10	13534.695	0.08
10B	10	12936.862	0.01
10C	10	16853.218	0.07
10N	10	41653.543	429.41
11Li	11	43723.581	0.66
11Be	11	21661.081	0.25
11B	11	9305.166	0.01
11C	11	11432.597	0.06
11N	11	26090.945	49.54
12Li	12	52613.941	32.21
12Be	12	26922.083	2.04
12B	12	14352.638	1.41
12C	12	0	0
12N	12	18613.182	1.07
12O	12	34261.747	25.76
13Li	13	61171.503	75.15
13Be	13	36134.507	10.92
13B	13	17779.981	1.07
13C	13	3354.83521	0
13N	13	5738.609	0.28
13O	13	24815.437	10.22
14Be	14	42892.92	141.97
14B	14	25404.012	22.77
14C	14	3241.98843	0
14N	14	3074.00446	0
14O	14	8596.706	0.02
14F	14	34315.199	44.14
15Be	15	53490.215	177.99
15B	15	31087.953	22.57
15C	15	10599.256	0.85
15N	15	108.89894	0
15O	15	3065.618	0.52
15F	15	17785.139	15.02
15Ne	15	43172.98	71.58
16Be	16	61672.036	177.99
16B	16	39841.92	26.37
16C	16	14701.256	3.84
16N	16	6101.925	2.47
16O	15	994914.6196	0
16F	16	11465.723	8.93
16Ne	16	25750.864	21.98
17B	17	46931.399	219.11
17C	17	22578.672	18.64
17N	17	8448.877	16.1
17O	16	999131.7566	0
17F	17	2095.238	0.26
17Ne	17	17713.959	0.38
17Na	17	37760	1075
18B	18	55601.682	219.18
18C	18	26751.932	32.2
18N	18	14077.565	19.93
18O	17	999159.6128	0
18F	18	937.325	0.49
18Ne	18	5708.693	0.39
18Na	18	26879.386	100.78
19B	19	64166	564
19C	19	34797.596	105.62
19N	19	17022.419	17.61
19O	19	3577.97	2.83
19F	18	998403.1629	0
19Ne	19	1880.903	0.17
19Na	19	13880.272	11.3
19Mg	19	34169.182	53.67
20B	20	073484	859
20C	20	40261.732	247.58
20N	20	23367.295	84.69
20O	20	4075.358	0.95
20F	19	999981.252	0.03
20Ne	19	992440.1762	0
20Na	20	7354.426	1.19
20Mg	20	18763.075	2
21B	21	083017	966
21C	21	049000	640
21N	21	27087.573	143.9
21O	21	8654.95	12.88
21F	20	999948.894	1.93
21Ne	20	993846.685	0.04
21Na	20	997654.702	0.1
21Mg	21	11705.764	0.81
21Al	21	028975	640
22C	22	57553.99	248.51
22N	22	34100.918	223.06
22O	22	9965.746	61.1
22F	22	2998.809	13.31
22Ne	21	991385.109	0.01
22Na	21	994437.418	0.18
22Mg	21	999570.654	0.33
22Al	22	019540	430
22Si	22	035790	540
23C	23	068890	1070
23N	23	39421	451.5
23O	23	15696.686	130.66
23F	23	3526.874	35.77
23Ne	22	994466.9	0.11
23Na	22	989769.282	0
23Mg	22	994123.941	0.17
23Al	23	7244.351	0.37
23Si	23	025440	540
24N	24	050390	430
